SSD,leitura,escrita,tentativas_app,insercao
SSD C,2136.21,1219.84,1,1
SSD C,2137.04,1237.00,1,1
SSD C,2134.38,1293.26,1,1
SSD C,2138.37,1112.77,1,1
SSD C,2128.80,1236.15,1,1
SSD C,2135.71,681.83,1,1
SSD C,2133.24 ,436.01,1,1
SSD C,2134.38,1160.11,1,1
SSD C,2129.25,1132.40 ,1,1
SSD C,2129.19,829.16,1,1
,,,,
SSD C,2057.57,321.35,1,16
SSD C,2044.92,213.46,1,16
SSD C,2056.70,229.86,1,16
SSD C,2030.98,177.97,1,16
SSD C,2064.00,254.16,1,16
SSD C,2089.32,274.30,1,16
SSD C,2086.56,275.82,1,16
SSD C,2088.07,335.21,1,16
SSD C,2120.53,315.08,1,16
SSD C,2090.51,304.97,1,16
,,,,
SSD C,2046.16,493.88,1,32
SSD C,2044.17,325.83,1,32
SSD C,2030.70,349.36,1,32
SSD C,2050.68,450.66,1,32
SSD C,2032.85,557.42,1,32
SSD C,2040.69,396.74,1,32
SSD C,2046.06,580.35,1,32
SSD C,2038.77,284.22,1,32
SSD C,2027.44,523.99,1,32
SSD C,1994.40,397.47,1,32
,,,,
SSD C,2183.00,1240.84,5,1
SSD C,2187.09,1234.29,5,1
SSD C,2179.69,1235.65,5,1
SSD C,2184.37,1216.24,5,1
SSD C,2188.97,1233.07,5,1
SSD C,2173.72,1232.56,5,1
SSD C,2176.32,1230.96,5,1
SSD C,2177.52,1234.42,5,1
SSD C,2182.66,1229.87,5,1
SSD C,2176.28,1233.47,5,1
,,,,
SSD C,2114.72,739.03,5,16
SSD C,2130.46,576.40,5,16
SSD C,2080.40,676.01,5,16
SSD C,2083.78,765.49,5,16
SSD C,2077.68,879.85,5,16
SSD C,2114.82,694.02,5,16
SSD C,1813.80,608.73,5,16
SSD C,2124.00,691.29,5,16
SSD C,2096.19,661.24,5,16
SSD C,2119.50,674.81,5,16
,,,,
SSD C,2071.46,801.75,5,32
SSD C,2050.59,674.39,5,32
SSD C,2063.55,649.99,5,32
SSD C,2071.99,753.06,5,32
SSD C,2076.39,674.18,5,32
SSD C,2067.76,751.85,5,32
SSD C,2075.84,703.79,5,32
SSD C,2042.75,713.24,5,32
SSD C,2076.65,790.58,5,32
SSD C,1808.93,622.40,5,32
,,,,
SSD C,2177.71,1234.46,9,1
SSD C,2169.25,1235.78,9,1
SSD C,2181.31,1229.85,9,1
SSD C,2188.65,1216.23,9,1
SSD C,2178.74,1238.90,9,1
SSD C,2181.51,1236.00,9,1
SSD C,2179.86,1239.31,9,1
SSD C,2130.95,1231.74,9,1
SSD C,2179.07,1236.86,9,1
SSD C,2183.68,1232.66,9,1
,,,,
SSD C,2120.79,767.59,9,16
SSD C,2094.82,806.46,9,16
SSD C,2135.11,839.25,9,16
SSD C,2093.90,844.96,9,16
SSD C,2139.69,899.38,9,16
SSD C,2121.76,734.57,9,16
SSD C,2093.47,801.33,9,16
SSD C,2091.22,735.42,9,16
SSD C,1756.64,766.63,9,16
SSD C,2092.79,694.21,9,16
,,,,
SSD C,1577.71,976.38,9,32
SSD C,1498.95,1116.10,9,32
SSD C,1545.84,928.51,9,32
SSD C,2049.24,1196.94,9,32
SSD C,1808.16,715.66,9,32
SSD C,1739.03,939.07,9,32
SSD C,2074.47,1194.24,9,32
SSD C,2063.11,1158.06,9,32
SSD C,2040.13,1178.60,9,32
SSD C,2074.77,1186.06,9,32
,,,,
SSD D,476.14,251.28,1,1
SSD D,497.53,435.06,1,1
SSD D,488.67,433.47,1,1
SSD D,481.53,432.09,1,1
SSD D,490.04,422.15,1,1
SSD D,489.65,433.48,1,1
SSD D,491.33,433.87,1,1
SSD D,482.01,432.71,1,1
SSD D,490.03,431.98,1,1
SSD D,489.76,418.63,1,1
,,,,
SSD D,506.16,63.46,1,16
SSD D,506.90,62.94,1,16
SSD D,507.23,67.41,1,16
SSD D,504.58,63.19,1,16
SSD D,504.24,67.98,1,16
SSD D,507.66,68.12,1,16
SSD D,506.45,65.59,1,16
SSD D,504.53,66.80,1,16
SSD D,490.31,70.42,1,16
SSD D,506.98,68.03,1,16
,,,,
SSD D,505.17,62.70,1,32
SSD D,505.14,64.87,1,32
SSD D,505.20,70.27,1,32
SSD D,490.89,69.80,1,32
SSD D,500.83,70.36,1,32
SSD D,504.39,64.94,1,32
SSD D,482.78,62.77,1,32
SSD D,500.62,69.77,1,32
SSD D,492.47,72.14,1,32
SSD D,501.76,63.24,1,32
,,,,
SSD D,508.69,427.44,5,1
SSD D,502.21,436.56,5,1
SSD D,501.86,436.65,5,1
SSD D,500.97,436.51,5,1
SSD D,496.07,436.38,5,1
SSD D,501.72,436.42,5,1
SSD D,501.79,436.47,5,1
SSD D,501.71,436.05,5,1
SSD D,497.16,437.00,5,1
SSD D,496.22,436.31,5,1
,,,,
SSD D,506.42,85.56,5,16
SSD D,507.56,87.29,5,16
SSD D,507.19,103.89,5,16
SSD D,507.77,169.63,5,16
SSD D,508.01,119.68,5,16
SSD D,506.52,104.90,5,16
SSD D,506.89,105.22,5,16
SSD D,506.27,119.86,5,16
SSD D,505.58,105.02,5,16
SSD D,493.39,137.15,5,16
,,,,
SSD D,505.67,102.41,5,32
SSD D,505.50,119.89,5,32
SSD D,505.98,102.90,5,32
SSD D,505.82,119.67,5,32
SSD D,504.96,218.98,5,32
SSD D,506.41,71.18,5,32
SSD D,503.53,185.37,5,32
SSD D,506.43,138.41,5,32
SSD D, 506.59,102.34,5,32
SSD D,504.13,70.67,5,32
,,,,
SSD D,496.03,436.13,9,1
SSD D,495.96,435.27,9,1
SSD D,496.80,433.50,9,1
SSD D,500.08,433.44,9,1
SSD D,496.85,433.25,9,1
SSD D,496.14,436.21,9,1
SSD D,501.14,435.67,9,1
SSD D,513.28,434.30,9,1
SSD D,495.44,436.10,9,1
SSD D,496.59,434.65,9,1
,,,,
SSD D,497.37,169.77,9,16
SSD D,493.59,119.96,9,16
SSD D,491.35,137.16,9,16
SSD D,493.71,102.90,9,16
SSD D,495.88,136.61,9,16
SSD D,495.62,87.17,9,16
SSD D,490.62,136.88,9,16
SSD D,495.89,236.76,9,16
SSD D,492.71,137.16,9,16
SSD D,493.67,103.86,9,16
,,,,
SSD D,464.87,154.24,9,32
SSD D,505.50,154.61,9,32
SSD D,506.88,105.00,9,32
SSD D,506.94,137.27,9,32
SSD D,505.78,104.56,9,32
SSD D,505.49,164.78,9,32
SSD D,505.65,186.74,9,32
SSD D,506.77,154.65,9,32
SSD D,506.55,269.05,9,32
SSD D,505.49,187.18,9,32
